ticker,close,bias_norm,bias_label,b_score,r_score,volume,bull_ema,bull_vwap,bull_rsi,bull_macd,bull_adx,bull_obv,bull_stoch,bull_candle,bull_vol
VIX,18.6,88.9,RẤT MẠNH,8,1,79495300.0,True,True,True,True,False,True,True,True,True
INN,41.6,77.8,RẤT MẠNH,6,1,100.0,True,False,True,True,True,True,True,False,False
DTH,15.0,72.2,RẤT MẠNH,6,2,1000.0,True,False,True,True,True,True,False,False,True
NQB,10.1,72.2,RẤT MẠNH,6,2,3100.0,True,False,False,True,True,True,True,False,True
SIV,42.8,72.2,RẤT MẠNH,5,1,500.0,True,True,True,False,False,False,True,True,False
FRM,8.3,66.7,MẠNH,4,1,100.0,False,False,True,True,False,True,True,False,False
MND,11.0,66.7,MẠNH,5,2,100.0,True,False,True,True,True,False,True,False,False
DAE,15.0,66.7,MẠNH,6,3,1000.0,True,False,True,False,True,True,True,False,True
PLE,62.5,61.1,MẠNH,4,2,100.0,True,False,True,True,True,False,False,False,False
KTC,9.2,61.1,MẠNH,4,2,300.0,True,False,True,False,True,True,False,False,False
DCH,10.0,55.6,MẠNH,5,4,3100.0,True,False,False,True,True,False,True,False,True
NDP,25.9,55.6,MẠNH,5,4,900.0,False,True,False,False,True,True,True,False,True
TOW,36.0,55.6,MẠNH,4,3,200.0,True,True,True,False,False,False,False,True,False
VFC,104.0,50.0,TRUNG TÍNH,3,3,100.0,False,False,False,True,True,False,True,False,False
DHN,26.0,50.0,TRUNG TÍNH,4,4,1100.0,True,False,True,False,True,False,False,False,True
DPH,51.0,50.0,TRUNG TÍNH,3,3,100.0,True,False,False,False,True,True,False,False,False
MTH,26.5,50.0,TRUNG TÍNH,2,2,1000.0,True,False,True,False,False,False,False,False,False
MGG,25.0,44.4,YẾU,3,4,6200.0,False,False,False,False,False,True,True,False,True
YTC,24.0,44.4,YẾU,3,4,100.0,False,False,False,True,True,False,True,False,False
RAT,17.4,44.4,YẾU,2,3,1100.0,True,False,False,False,False,False,False,False,True
BHK,14.0,38.9,YẾU,2,4,100.0,False,False,False,False,True,False,True,False,False
BWA,12.9,38.9,YẾU,3,5,100.0,False,False,False,False,True,False,True,False,True
PMJ,16.9,38.9,YẾU,2,4,100.0,False,False,False,False,True,False,True,False,False
BVL,13.5,38.9,YẾU,3,5,1600.0,True,False,True,False,True,False,False,False,False
CLW,44.55,38.9,YẾU,3,5,3300.0,True,True,False,False,False,False,False,False,True
MQB,5.6,38.9,YẾU,4,6,100.0,False,True,False,False,True,False,True,False,True
HAS,7.9,33.3,YẾU,2,5,100.0,False,False,False,False,True,False,True,False,False
DLT,8.6,33.3,YẾU,2,5,2000.0,False,False,False,False,True,False,False,False,True
GTA,8.4,33.3,YẾU,2,5,100.0,False,False,False,False,True,True,False,False,False
PPS,10.0,33.3,YẾU,3,6,300.0,False,True,False,False,True,False,False,True,False
PVV,1.6,33.3,YẾU,2,5,101500.0,True,False,False,False,True,False,False,False,False
EMG,9.2,27.8,RẤT YẾU,1,5,100.0,False,False,False,False,False,False,False,False,True
SPV,20.6,27.8,RẤT YẾU,2,6,100.0,False,False,False,False,True,False,False,False,True
THU,10.0,27.8,RẤT YẾU,2,6,2400.0,False,False,False,False,True,False,False,False,True
BHP,7.0,22.2,RẤT YẾU,0,5,100.0,False,False,False,False,False,False,False,False,False
CMF,389.0,22.2,RẤT YẾU,1,6,100.0,False,False,False,False,False,False,False,False,True
PSN,8.2,22.2,RẤT YẾU,1,6,100.0,False,False,False,False,True,False,False,False,False
HIO,8.5,88.9,RẤT MẠNH,8,1,96300.0,True,True,True,True,False,True,True,True,True
TOT,16.8,83.3,RẤT MẠNH,7,1,200.0,True,True,True,True,True,True,False,True,False
DRG,8.9,77.8,RẤT MẠNH,5,0,100.0,True,False,True,True,False,True,True,False,False
ECO,31.3,77.8,RẤT MẠNH,6,1,11300.0,True,True,True,True,False,True,False,True,False
PLA,6.1,77.8,RẤT MẠNH,5,0,100.0,True,True,True,False,False,True,True,False,False
SVD,3.62,77.8,RẤT MẠNH,8,3,26700.0,False,True,True,True,True,True,True,True,True
HLB,400.0,72.2,RẤT MẠNH,4,0,100.0,True,False,True,True,False,True,False,False,False
SNC,26.0,72.2,RẤT MẠNH,6,2,500.0,True,False,True,False,True,True,True,False,True
TTG,13.2,72.2,RẤT MẠNH,7,3,238000.0,False,True,False,True,True,True,True,True,True
ILC,6.8,66.7,MẠNH,4,1,1200.0,True,True,False,False,False,False,True,True,False
ISH,28.7,66.7,MẠNH,4,1,100.0,True,False,True,True,False,False,True,False,False
SBD,8.2,66.7,MẠNH,4,1,100.0,True,False,True,True,False,False,True,False,False
VGV,58.1,66.7,MẠNH,4,1,100.0,True,False,True,True,False,True,False,False,False
BIO,13.0,61.1,MẠNH,4,2,100.0,True,False,True,False,True,True,False,False,False
DCR,4.3,61.1,MẠNH,3,1,100.0,False,False,False,True,False,True,True,False,False
NAP,11.0,61.1,MẠNH,4,2,1000.0,False,True,False,False,False,True,True,True,False
